Datetime,Equity_Value,Date
2017-01-02 10:30:00,1000000.0,2017-01-02
2017-01-02 10:31:00,999995.45,2017-01-02
2017-01-02 10:32:00,999996.65,2017-01-02
2017-01-02 10:33:00,999998.1,2017-01-02
2017-01-02 10:34:00,999996.05,2017-01-02
2017-01-02 10:35:00,999996.25,2017-01-02
2017-01-02 10:36:00,999994.0,2017-01-02
2017-01-02 10:37:00,999996.0,2017-01-02
2017-01-02 10:38:00,999993.5,2017-01-02
2017-01-02 10:39:00,999996.6,2017-01-02
2017-01-02 10:40:00,999996.1,2017-01-02
2017-01-02 10:41:00,999994.3,2017-01-02
2017-01-02 10:42:00,999994.55,2017-01-02
2017-01-02 10:43:00,999994.15,2017-01-02
2017-01-02 10:44:00,999993.7,2017-01-02
2017-01-02 10:45:00,999993.65,2017-01-02
2017-01-02 10:46:00,999990.25,2017-01-02
2017-01-02 10:47:00,999987.15,2017-01-02
2017-01-02 10:48:00,999980.7,2017-01-02
2017-01-02 10:49:00,999976.5,2017-01-02
2017-01-02 10:50:00,999970.65,2017-01-02
2017-01-02 10:51:00,999965.55,2017-01-02
2017-01-02 10:52:00,999971.75,2017-01-02
2017-01-02 10:53:00,999969.95,2017-01-02
2017-01-02 10:54:00,999967.5,2017-01-02
2017-01-02 10:55:00,999969.35,2017-01-02
2017-01-02 10:56:00,999965.2,2017-01-02
2017-01-02 10:57:00,999965.4,2017-01-02
2017-01-02 10:58:00,999968.6,2017-01-02
2017-01-02 10:59:00,999967.3,2017-01-02
2017-01-02 11:00:00,999964.65,2017-01-02
2017-01-02 11:01:00,999963.75,2017-01-02
2017-01-02 11:02:00,999962.8,2017-01-02
2017-01-02 11:03:00,999964.1,2017-01-02
2017-01-02 11:04:00,999966.45,2017-01-02
2017-01-02 11:05:00,999968.25,2017-01-02
2017-01-02 11:06:00,999967.6,2017-01-02
2017-01-02 11:07:00,999963.3,2017-01-02
2017-01-02 11:08:00,999967.4,2017-01-02
2017-01-02 11:09:00,999966.0,2017-01-02
2017-01-02 11:10:00,999967.45,2017-01-02
2017-01-02 11:11:00,999967.9,2017-01-02
2017-01-02 11:12:00,999970.95,2017-01-02
2017-01-02 11:13:00,999968.5,2017-01-02
2017-01-02 11:14:00,999968.15,2017-01-02
2017-01-02 11:15:00,999969.5,2017-01-02
2017-01-02 11:16:00,999967.05,2017-01-02
2017-01-02 11:17:00,999967.9,2017-01-02
2017-01-02 11:18:00,999966.5,2017-01-02
2017-01-02 11:19:00,999964.6,2017-01-02
2017-01-02 11:20:00,999960.75,2017-01-02
2017-01-02 11:21:00,999954.4,2017-01-02
2017-01-02 11:22:00,999952.9,2017-01-02
2017-01-02 11:23:00,999959.25,2017-01-02
2017-01-02 11:24:00,999957.15,2017-01-02
2017-01-02 11:25:00,999950.95,2017-01-02
2017-01-02 11:26:00,999953.8,2017-01-02
2017-01-02 11:27:00,999956.25,2017-01-02
2017-01-02 11:28:00,999958.1,2017-01-02
2017-01-02 11:29:00,999957.95,2017-01-02
2017-01-02 11:30:00,999960.55,2017-01-02
2017-01-02 11:31:00,999959.7,2017-01-02
2017-01-02 11:32:00,999958.2,2017-01-02
2017-01-02 11:33:00,999959.2,2017-01-02
2017-01-02 11:34:00,999959.4,2017-01-02
2017-01-02 11:35:00,999958.7,2017-01-02
2017-01-02 11:36:00,999958.05,2017-01-02
2017-01-02 11:37:00,999957.75,2017-01-02
2017-01-02 11:38:00,999961.3,2017-01-02
2017-01-02 11:39:00,999962.35,2017-01-02
2017-01-02 11:40:00,999963.55,2017-01-02
2017-01-02 11:41:00,999965.35,2017-01-02
2017-01-02 11:42:00,999960.85,2017-01-02
2017-01-02 11:43:00,999965.45,2017-01-02
2017-01-02 11:44:00,999966.2,2017-01-02
2017-01-02 11:45:00,999965.55,2017-01-02
2017-01-02 11:46:00,999969.1,2017-01-02
2017-01-02 11:47:00,999967.5,2017-01-02
2017-01-02 11:48:00,999970.35,2017-01-02
