Date,Expiry,En_Date,Ce_En_Date,Pe_En_Date,Ce_Ex_Date,Pe_Ex_Date,Fut_En_Price,ATM_Strike,Ce_Short_Strike,Pe_Short_Strike,Ce_Long_Strike,Pe_Long_Strike,Ce_Short_En_Price,Ce_Short_Ex_Price,Pe_Short_En_Price,Pe_Short_Ex_Price,Ce_Long_En_Price,Ce_Long_Ex_Price,Pe_Long_En_Price,Pe_Long_Ex_Price,Returns_Abs,Quantity,Lot_Size,Total_Abs_Return,Total_Capital_Return,Total_Pct_Return,Pfolio_Total_Daily_Drawdown,Pfolio_Max_Daily_Drawdown
02-01-2017,05-01-2017,02-01-2017,02-01-2017 10:30,02-01-2017 10:30,02-01-2017 15:20,02-01-2017 10:50,18067.95,18100,18100,18100,18500,17700,89.95,73.95,171.45,227.3,16.15,10.55,32.35,58.65,-19.15,3,25,-1436.25,998563.75,-0.143625,-0.006769746,-0.006769746
03-01-2017,05-01-2017,03-01-2017,03-01-2017 10:30,03-01-2017 10:30,03-01-2017 15:20,03-01-2017 15:20,18107,18100,18100,18100,18500,17700,90.3,61.65,136.55,190,12.1,7.75,21.6,19.5,-31.25,3,25,-2343.75,996220,-0.234712105,-0.00060586,-0.002944209
04-01-2017,05-01-2017,04-01-2017,04-01-2017 10:30,04-01-2017 10:30,04-01-2017 15:20,04-01-2017 13:04,18048.05,18000,18000,18000,18400,17600,94.45,30.05,82,107.55,6.4,4.45,6,3.65,34.55,3,25,2591.25,998811.25,0.260108209,-0.001415341,-0.001415341
05-01-2017,05-01-2017,05-01-2017,05-01-2017 10:30,05-01-2017 10:30,05-01-2017 11:51,05-01-2017 13:56,18079.7,18100,18100,18100,18500,17700,20,26.8,79.05,14.5,0.15,0.1,0.35,0.2,57.55,3,25,4316.25,1003127.5,0.432138705,-0.00166186,-0.00166186
06-01-2017,12-01-2017,06-01-2017,06-01-2017 10:30,06-01-2017 10:30,06-01-2017 15:20,06-01-2017 15:20,18340,18300,18300,18300,18700,17900,129,109.7,137,143.75,19.5,13.5,30.55,31.2,7.2,3,25,540,1003667.5,0.053831642,-0.000189406,-0.000847346
09-01-2017,12-01-2017,07-01-2017,09-01-2017 10:30,09-01-2017 10:30,09-01-2017 15:20,09-01-2017 15:20,18359.1,18400,18400,18400,18800,18000,78.25,66.85,160,167.35,4.6,3.3,30.75,27.3,-0.7,3,25,-52.5,1003615,-0.005230816,-0.001006303,-0.001071071
10-01-2017,12-01-2017,08-01-2017,10-01-2017 10:30,10-01-2017 10:30,10-01-2017 15:20,10-01-2017 15:20,18361.75,18400,18400,18400,18800,18000,64.45,86.15,135.9,81.9,1.7,2.75,14.55,10.1,28.9,3,25,2167.5,1005782.5,0.215969271,-0.000632701,-0.000632701
11-01-2017,12-01-2017,09-01-2017,11-01-2017 10:30,11-01-2017 10:30,11-01-2017 11:23,11-01-2017 13:13,18625.9,18600,18600,18600,19000,18200,58.35,76.45,82.65,16,0.9,1.65,3.65,2.5,48.15,3,25,3611.25,1009393.75,0.3590488,-0.010921721,-0.010921721
12-01-2017,12-01-2017,10-01-2017,12-01-2017 10:30,12-01-2017 10:30,12-01-2017 10:53,12-01-2017 15:02,18860,18900,18900,18900,19300,18500,21.15,28.65,79.2,15,0.25,0.15,0.95,0.6,56.25,3,25,4218.75,1013612.5,0.417948893,-0.00083706,-0.002006046
13-01-2017,19-01-2017,11-01-2017,13-01-2017 10:30,13-01-2017 10:30,13-01-2017 15:20,13-01-2017 15:20,18830,18800,18800,18800,19200,18400,131.7,173.15,137.45,88.75,26.7,37.35,27.5,19.25,9.65,3,25,723.75,1014336.25,0.071403026,-0.001568638,-0.001568638
16-01-2017,19-01-2017,12-01-2017,16-01-2017 10:30,16-01-2017 10:30,16-01-2017 13:42,16-01-2017 15:20,19005.2,19000,19000,19000,19400,18600,108.7,141.4,133,70.85,15.3,28.5,25.95,18,34.7,3,25,2602.5,1016938.75,0.256571724,-0.001656243,-0.001656243
17-01-2017,19-01-2017,13-01-2017,17-01-2017 10:30,17-01-2017 10:30,17-01-2017 15:20,17-01-2017 15:20,19164.35,19200,19200,19200,19600,18800,82.65,55.05,136.9,178,8.3,5.3,22.8,25.15,-14.15,3,25,-1061.25,1015877.5,-0.104357317,-0.004375829,-0.004375829
18-01-2017,19-01-2017,14-01-2017,18-01-2017 10:30,18-01-2017 10:30,18-01-2017 15:20,18-01-2017 12:25,19290.15,19300,19300,19300,19700,18900,70.45,26.85,95.2,131.2,2.85,1.95,7.05,13.85,13.5,3,25,1012.5,1016890,0.099667529,-0.000723507,-0.002938341
19-01-2017,19-01-2017,15-01-2017,19-01-2017 10:30,19-01-2017 10:30,19-01-2017 11:56,19-01-2017 14:37,19116.25,19100,19100,19100,19500,18700,38.9,51.2,46.1,6.7,0.15,0.1,0.25,0.15,26.95,3,25,2021.25,1018911.25,0.198767812,-0.000304832,-0.002261771
20-01-2017,25-01-2017,16-01-2017,20-01-2017 10:30,20-01-2017 10:30,20-01-2017 15:20,20-01-2017 13:19,19002.5,19000,19000,19000,19400,18600,138.3,71.15,130.05,173,23.1,15,23.6,15.85,8.35,3,25,626.25,1019537.5,0.061462664,-0.004897199,-0.004897199
23-01-2017,25-01-2017,17-01-2017,23-01-2017 10:30,23-01-2017 10:30,23-01-2017 12:00,23-01-2017 12:51,18866.65,18900,18900,18900,19300,18500,94,122.55,124.95,162.75,9.9,6.8,18.2,12.7,-74.95,3,25,-5621.25,1013916.25,-0.551352942,-0.000323669,-0.001392773
24-01-2017,25-01-2017,18-01-2017,24-01-2017 10:30,24-01-2017 10:30,24-01-2017 14:46,24-01-2017 15:20,18984.1,19000,19000,19000,19400,18600,67.55,88.65,79.5,39.7,2.7,1.8,4.05,2.65,16.4,3,25,1230,1015146.25,0.121311795,-8.88E-05,-0.001015838
25-01-2017,25-01-2017,19-01-2017,25-01-2017 10:30,25-01-2017 10:30,25-01-2017 12:13,25-01-2017 12:59,19148,19100,19100,19100,19500,18700,62,81.15,22.4,4.3,0.35,0.2,0.35,0.2,-1.35,3,25,-101.25,1015045,-0.009973932,-0.027163388,-0.027163388
27-01-2017,02-02-2017,20-01-2017,27-01-2017 10:30,27-01-2017 10:30,27-01-2017 15:20,27-01-2017 15:20,19765,19800,19800,19800,20200,19400,187.2,245.7,284.85,292.5,82,90.5,112.3,115.6,-54.35,3,25,-4076.25,1010968.75,-0.401583181,-0.002497423,-0.002497423
30-01-2017,02-02-2017,21-01-2017,30-01-2017 10:30,30-01-2017 10:30,30-01-2017 15:20,30-01-2017 15:20,19718.9,19700,19700,19700,20100,19300,241,196.7,275,301.95,111.4,88.2,105.5,115.2,3.85,3,25,288.75,1011257.5,0.028561714,-0.003511444,-0.003511444
31-01-2017,02-02-2017,22-01-2017,31-01-2017 10:30,31-01-2017 10:30,31-01-2017 15:20,31-01-2017 15:20,19549.05,19500,19500,19500,19900,19100,235.5,228.15,234.05,207.65,102.05,95.85,82.6,55.55,0.5,3,25,37.5,1011295,0.003708254,-0.001774981,-0.001774981
01-02-2017,02-02-2017,23-01-2017,01-02-2017 10:30,01-02-2017 10:30,01-02-2017 13:06,01-02-2017 13:04,19627.75,19600,19600,19600,20000,19200,216.35,311.5,244.65,42.95,84.75,59,95.15,63.2,48.85,3,25,3663.75,1014958.75,0.362283013,-0.012191407,-0.012191407
02-02-2017,02-02-2017,24-01-2017,02-02-2017 10:30,02-02-2017 10:30,02-02-2017 11:34,02-02-2017 11:18,20116.5,20100,20100,20100,20500,19700,40.4,8,71.45,95.65,0.85,0.55,1,1.85,8.75,3,25,656.25,1015615,0.0646578,-0.001684626,-0.006714536
03-02-2017,09-02-2017,25-01-2017,03-02-2017 10:30,03-02-2017 10:30,03-02-2017 15:20,03-02-2017 15:20,20152.25,20200,20200,20200,20600,19800,141.95,160,232,170,33.85,35.1,70.9,49.5,23.8,3,25,1785,1017400,0.175755577,-0.00484903,-0.004972109
